,Posted On,"Bedrooms, Halls, Kitchens",Rental Price,Size (ft2),Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Number of Bathrooms,Point of Contact
34,2022-05-10,3,22000,1100,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
35,2022-05-12,2,15000,850,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
36,2022-06-03,2,12500,800,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent
37,2022-05-31,2,7000,630,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
38,2022-06-10,2,21000,900,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
39,2022-06-24,1,10000,270,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
40,2022-06-29,2,7200,630,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
41,2022-05-12,3,12000,1500,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner
42,2022-06-26,1,5000,600,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
43,2022-04-30,2,8500,700,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
44,2022-05-27,1,6000,300,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
45,2022-06-06,2,10000,1300,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner
46,2022-05-20,2,4600,400,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
47,2022-07-02,2,12000,650,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner
48,2022-05-26,3,30000,2000,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
49,2022-05-12,3,15000,1068,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
50,2022-06-22,1,7500,150,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
51,2022-06-25,1,7500,450,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner
52,2022-07-03,2,5000,800,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
53,2022-04-23,2,15000,1000,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
54,2022-05-14,2,11000,900,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
55,2022-05-27,1,7000,600,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
56,2022-06-19,2,6000,1200,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
57,2022-06-19,2,6000,1200,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
58,2022-07-02,2,7000,650,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
59,2022-07-06,2,8500,720,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
60,2022-07-02,1,5000,300,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner
61,2022-06-21,3,30000,1200,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
62,2022-06-04,2,10000,700,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
63,2022-06-24,3,30000,2000,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
64,2022-05-14,1,3500,250,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
65,2022-06-26,2,8000,1100,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
66,2022-07-02,1,5000,300,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
67,2022-05-05,2,7500,600,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
68,2022-05-18,2,6500,800,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
69,2022-06-07,1,7500,680,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
70,2022-06-07,1,7500,680,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
71,2022-06-26,2,16000,850,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
72,2022-06-26,2,16000,850,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
73,2022-05-30,2,6500,700,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner
74,2022-05-22,3,40000,1500,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
75,2022-06-18,2,12500,950,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
76,2022-06-08,2,5500,500,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
77,2022-06-25,1,5000,450,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
78,2022-05-03,2,6500,700,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
79,2022-05-12,1,8000,500,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
80,2022-06-01,3,14500,1800,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
81,2022-05-23,1,8200,500,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
82,2022-05-23,2,15000,480,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
83,2022-06-21,6,20000,1000,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
84,2022-06-22,2,6700,800,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
85,2022-05-27,1,10000,435,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
86,2022-05-07,2,7000,700,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
87,2022-06-25,2,22000,800,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1,Contact Agent
88,2022-06-27,2,6500,450,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
89,2022-05-31,2,8500,550,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
90,2022-06-03,2,18000,800,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent
91,2022-06-27,2,12000,550,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2,Contact Owner
92,2022-05-15,1,9000,600,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
93,2022-06-09,1,6000,500,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
94,2022-04-28,2,20000,1000,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
95,2022-05-23,1,5000,300,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
96,2022-06-28,2,12000,1200,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
97,2022-06-23,2,10000,500,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
98,2022-04-29,4,18000,1200,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner
99,2022-06-13,2,15000,900,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
100,2022-06-13,3,22000,1300,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
101,2022-06-13,4,35000,1600,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
102,2022-05-14,3,21000,1450,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner
103,2022-07-06,2,25000,1100,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent
105,2022-06-06,1,6000,600,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
106,2022-07-04,2,14000,700,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
107,2022-05-15,3,8000,750,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner
108,2022-05-04,2,8000,1000,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
109,2022-04-25,1,6000,220,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
110,2022-05-21,1,8000,300,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
111,2022-06-27,1,6000,300,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
112,2022-07-02,1,20000,700,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
113,2022-07-06,3,12000,800,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
114,2022-04-28,3,15000,1600,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
115,2022-05-15,2,14000,1000,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
116,2022-05-30,1,5000,20,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
117,2022-06-10,2,7000,400,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
118,2022-06-23,1,3900,200,Super Area,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
119,2022-06-09,3,14000,840,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,2,Contact Owner
120,2022-06-19,1,6300,300,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
121,2022-07-03,2,13000,550,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
122,2022-07-03,1,6800,300,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
123,2022-05-14,2,8000,800,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
124,2022-05-10,2,10000,740,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
125,2022-04-25,2,18000,1300,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
126,2022-06-13,2,8000,650,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
127,2022-05-06,2,8000,490,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
128,2022-06-08,1,4700,250,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
129,2022-06-08,1,4700,250,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
130,2022-05-06,1,4500,450,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
131,2022-06-30,1,6000,300,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
132,2022-06-24,2,16000,750,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
133,2022-07-01,1,4700,250,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
134,2022-06-17,2,14000,751,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors,1,Contact Owner
135,2022-06-26,2,9000,900,Carpet Area,Lake Town,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
136,2022-06-23,2,5000,400,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
137,2022-06-13,2,17500,1000,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
138,2022-06-11,2,8500,1000,Carpet Area,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
139,2022-05-26,3,15000,1500,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner
140,2022-04-25,2,12500,750,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
141,2022-05-11,1,13000,1200,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
142,2022-05-06,2,8000,700,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
143,2022-05-10,2,8000,700,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
144,2022-05-21,2,8000,1000,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
145,2022-06-12,2,7000,1200,Super Area,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
146,2022-06-05,2,2200,550,Super Area,Behala silpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
147,2022-06-25,2,8000,800,Carpet Area,Vip Road,Kolkata,Unfurnished,Bachelors,1,Contact Owner
148,2022-06-11,2,5500,280,Super Area,New Barrakpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
149,2022-07-04,3,20000,1100,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
150,2022-05-10,2,7000,950,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
151,2022-05-13,1,3500,250,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
152,2022-05-10,2,5000,1000,Carpet Area,Hindmotor,Kolkata,Unfurnished,Bachelors,1,Contact Owner
153,2022-06-30,3,20000,1000,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
154,2022-05-27,2,7000,650,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
155,2022-06-08,2,10000,700,Super Area,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
156,2022-05-15,2,7000,700,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
157,2022-06-29,3,12000,1000,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
158,2022-05-13,2,14500,900,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
159,2022-05-25,1,6000,700,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
160,2022-07-04,2,9500,700,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
161,2022-06-27,2,10000,450,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
162,2022-05-06,1,3500,120,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
163,2022-06-01,2,9000,800,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
164,2022-06-07,3,40000,1220,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
165,2022-06-23,3,16500,1100,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
166,2022-06-12,3,8000,700,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner
167,2022-05-10,2,12000,800,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
168,2022-06-27,2,6500,670,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner
169,2022-04-30,4,40000,1300,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
170,2022-05-06,1,5000,190,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
171,2022-05-24,2,9000,700,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
172,2022-06-17,1,7000,240,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
173,2022-05-19,2,18000,850,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner
174,2022-05-26,1,9000,950,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
175,2022-06-11,1,5500,450,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
176,2022-06-08,2,7500,800,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner
177,2022-07-02,2,4000,600,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
178,2022-05-30,3,10500,800,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner
179,2022-07-03,3,15000,1100,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
180,2022-06-16,2,15000,800,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
181,2022-05-13,1,50000,2200,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
182,2022-06-08,2,12000,950,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
183,2022-04-25,2,11000,550,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
184,2022-06-04,2,12000,1800,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner
185,2022-05-11,2,8000,1000,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
186,2022-05-27,2,18000,600,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
187,2022-04-24,2,8000,750,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
188,2022-05-10,2,7000,685,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
189,2022-05-24,1,6500,44,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
190,2022-06-10,4,13000,1200,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
191,2022-05-05,2,9000,500,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1,Contact Owner
192,2022-04-29,4,10000,1110,Carpet Area,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
193,2022-05-05,2,12000,1000,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
194,2022-06-26,2,5000,392,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
195,2022-05-09,2,6000,700,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
196,2022-05-19,1,5200,750,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
197,2022-06-07,3,15000,1500,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2,Contact Owner
198,2022-04-29,2,9000,900,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
199,2022-07-03,1,24000,710,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1,Contact Agent
200,2022-05-26,1,5500,400,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
201,2022-06-24,1,10000,700,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,1,Contact Owner
202,2022-07-03,2,15000,1000,Carpet Area,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
203,2022-06-12,1,4700,250,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
204,2022-05-14,1,5000,500,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
205,2022-05-20,2,5000,450,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
206,2022-06-27,3,15000,1400,Super Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
207,2022-05-14,1,5000,500,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
208,2022-06-17,2,6000,700,Carpet Area,Hatiara Extention,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
209,2022-06-04,3,18000,1200,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
210,2022-06-21,2,8000,450,Carpet Area,Andul,Kolkata,Unfurnished,Bachelors,1,Contact Owner
211,2022-06-23,1,13000,500,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors,1,Contact Agent
212,2022-07-02,2,7500,400,Carpet Area,locality,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
213,2022-04-24,3,12000,1000,Super Area,Khardah,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
214,2022-06-04,2,11000,750,Carpet Area,Parnasree Pally,Kolkata,Unfurnished,Bachelors,1,Contact Owner
215,2022-06-24,1,6000,450,Super Area,Baghajatin,Kolkata,Unfurnished,Family,1,Contact Owner
216,2022-06-19,3,20000,1000,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2,Contact Agent
217,2022-07-03,2,7000,500,Carpet Area,sarsuna banerjee para,Kolkata,Unfurnished,Bachelors,2,Contact Owner
218,2022-06-19,4,30000,1600,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2,Contact Agent
219,2022-07-02,2,7500,550,Carpet Area,Near Seven Tanks Road Dumdum Station,Kolkata,Unfurnished,Bachelors,1,Contact Owner
220,2022-06-21,1,6500,550,Super Area,Jyangra,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
221,2022-06-04,1,3000,200,Super Area,Barasat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
